Year,State,Labor force participation,Unemployment rate,Average household size,Poverty rate,"Number of corruption convictions per 1,000,000 people",Gini coefficient,GDP per capita,Log of GDP per capita,Age,People with less than 9 years of education/people with college degree or above,Black/white,Hispanic/white,Location
2012,Massachusetts,65.1,6.7,2.54,8.5,1.95602,0.4813,66855.57669,11.11029,39.5,0.1188606,0.0946335,0.1346747,northeast
2013,Massachusetts,65,6.7,2.54,8.6,3.2871,0.48370001,66468.93669,11.10449,39.4,0.1218023,0.0949754,0.1408693,northeast
2014,Massachusetts,65.3,5.7,2.55,8.3,2.66848,0.48629999,67227.65671,11.11584,39.4,0.1202773,0.0959292,0.1466667,northeast
2015,Massachusetts,65.2,4.8,2.56,7.9,2.35487,0.48480001,69140.78035,11.1439,39.4,0.1093904,0.1007053,0.1528553,northeast
2005,Michigan,65.7,6.8,2.54,9.9,2.18882,0.44,45688.86989,10.72961,36.9,0.1432335,0.177916,0.0482659,midwest
2006,Michigan,65.4,7,2.54,9.6,2.49101,0.44400001,43910.99398,10.68992,37.3,0.1547259,0.1808761,0.0501181,midwest
2007,Michigan,64.4,7,2.55,10.1,1.19984,0.44800001,43800.47758,10.6874,37.6,0.1417419,0.1803833,0.0513995,midwest
2008,Michigan,63.3,8,2.56,10.5,3.29887,0.45100001,41655.97106,10.6372,38,0.148335,0.1795321,0.0534231,midwest
2009,Michigan,63.1,13.7,2.54,11.6,1.80547,0.45300001,38124.40854,10.54861,38.5,0.1522317,0.180251,0.0548907,midwest
2010,Michigan,62,12.6,2.53,12.1,3.03718,0.45100001,40590.93318,10.6113,39,0.1380834,0.1833559,0.0581421,midwest
2011,Michigan,60.4,10.4,2.56,12.5,2.43009,0.4612,41662.21992,10.63735,39.2,0.13554,0.1841931,0.0593685,midwest
2012,Michigan,60,9.1,2.53,12.6,1.72006,0.46239999,42379.92237,10.65443,39.5,0.1238596,0.1845329,0.0604651,midwest
2013,Michigan,60.4,8.8,2.52,12.3,1.92004,0.4641,42879.53708,10.66615,39.6,0.1227222,0.1834072,0.0619351,midwest
2014,Michigan,60.6,7.2,2.53,11.4,1.91728,0.4598,43441.47896,10.67917,39.6,0.1176164,0.1833396,0.0633392,midwest
2015,Michigan,60.4,5.4,2.51,11.1,0.604682,0.46669999,44374.4885,10.70042,39.7,0.1075338,0.1840815,0.0649138,midwest
2005,Minnesota,73.3,4.1,2.47,6.1,0.585983,0.42400002,56533.57565,10.94259,36.7,0.114293,0.0470897,0.0423022,midwest
2006,Minnesota,72.7,4,2.46,6.5,1.16199,0.43000001,54570.5697,10.90725,36.8,0.1252839,0.0507115,0.0439899,midwest
2007,Minnesota,72.4,4.6,2.45,6.5,0.576125,0.43599999,54488.77521,10.90575,37.1,0.1203084,0.0500449,0.0460092,midwest
2008,Minnesota,72.2,5.4,2.43,6.2,1.3409,0.44499999,54745.47523,10.91045,37.4,0.1120875,0.0517797,0.0484614,midwest
2009,Minnesota,72,7.8,2.46,7,2.46857,0.43900001,52305.66701,10.86486,37.5,0.1119903,0.0522351,0.0501817,midwest
2010,Minnesota,71.4,7.4,2.47,7.5,1.12982,0.44,53641.05471,10.89007,37.5,0.1031789,0.0620424,0.0562882,midwest
2011,Minnesota,71,6.5,2.48,7.6,1.49677,0.4436,54375.55635,10.90367,37.6,0.1010929,0.0631302,0.0581647,midwest
2012,Minnesota,70.4,5.6,2.48,7.6,0,0.44409999,54710.44933,10.90981,37.6,0.0930472,0.0648969,0.0596674,midwest
2013,Minnesota,70.1,5,2.49,7.2,1.10693,0.44620001,55463.47639,10.92348,37.7,0.0925274,0.0663638,0.0601275,midwest
2014,Minnesota,69.9,4.2,2.5,7.5,0.916225,0.45390001,56475.37605,10.94156,37.8,0.0864228,0.070415,0.0623032,midwest
2015,Minnesota,70,3.7,2.49,6.3,0.728651,0.4492,56713.63857,10.94577,37.9,0.0873773,0.0721056,0.0634991,midwest
2005,Mississippi,61.5,7.5,2.61,16.8,1.72061,0.46199998,33719.1094,10.42582,35.5,0.4007629,0.6062794,0.0255262,south
2006,Mississippi,60,6.5,2.62,16.8,2.40966,0.47099999,33584.16651,10.42181,35.4,0.4133489,0.6292009,0.0268708,south
2007,Mississippi,60,6.1,2.61,16.3,8.53723,0.47999999,34330.86216,10.4438,35.4,0.3930239,0.635374,0.0305851,south
2008,Mississippi,59.8,6.6,2.59,17,5.78503,0.47799999,35522.08874,10.47791,35.5,0.3766753,0.6397411,0.0339097,south
2009,Mississippi,57.7,9.5,2.6,17.3,5.08131,0.47,33693.49261,10.42506,35.1,0.3549226,0.6375665,0.039081,south
2010,Mississippi,58.6,10.4,2.66,17.8,8.08071,0.46799999,33664.19202,10.42419,36.1,0.337151,0.6434494,0.0425974,south
2011,Mississippi,59.8,10,2.67,17.4,5.70755,0.47350001,33146.7516,10.4087,36.1,0.3311057,0.649139,0.0472078,south
2012,Mississippi,58.4,9,2.65,19.2,3.01515,0.48699999,33372.58388,10.41549,36.2,0.2771837,0.6543273,0.0466576,south
2013,Mississippi,56.2,8.5,2.66,19,6.01764,0.47909999,33305.2393,10.41347,36.6,0.3100461,0.6574752,0.046883,south
2014,Mississippi,55,7.5,2.64,16.5,6.01187,0.47600001,33209.12611,10.41058,36.7,0.2772945,0.6612412,0.0470383,south
2015,Mississippi,55.5,6.4,2.62,17,3.67606,0.47589999,33345.22958,10.41467,37,0.2774527,0.6618451,0.0502966,south
2005,Missouri,67.9,5.4,2.46,10,3.62675,0.44800001,46437.37919,10.74586,37.4,0.1986808,0.1336998,0.0318675,midwest
2006,Missouri,67.5,4.8,2.46,10,3.42307,0.449,45053.23187,10.7156,37.2,0.214709,0.136569,0.033376,midwest
2007,Missouri,66.9,5.1,2.47,9.5,3.39696,0.44999999,44974.9074,10.71386,37.5,0.1949013,0.1366662,0.0366039,midwest
2008,Missouri,66.2,6.1,2.46,9.7,5.24392,0.44800001,45775.76127,10.73151,37.6,0.182899,0.1356297,0.0384983,midwest
2009,Missouri,66.1,9.3,2.49,10.9,4.0083,0.44999999,44310.19212,10.69897,37.6,0.1787087,0.1366794,0.0412591,midwest
2010,Missouri,66,9.6,2.48,10.6,4.16929,0.45500001,44983.90329,10.71406,38,0.1715785,0.1448674,0.043914,midwest
2011,Missouri,65.6,8.5,2.49,11.5,2.32918,0.46110001,44375.376,10.70044,38,0.1506112,0.1417597,0.044558,midwest
2012,Missouri,64.8,6.9,2.48,11.7,3.48722,0.46079999,44629.93048,10.70616,38.2,0.1475152,0.1426409,0.0456857,midwest
2013,Missouri,64.4,6.7,2.48,11.5,1.65449,0.4605,44985.70268,10.7141,38.1,0.1358289,0.1424716,0.0472817,midwest
2014,Missouri,64.7,6.1,2.5,10.7,3.13346,0.4628,44985.70268,10.7141,38.5,0.129798,0.146788,0.0481299,midwest
2015,Missouri,65,5,2.49,10.2,1.80812,0.46340001,45337.50981,10.72189,38.4,0.1275976,0.1461212,0.0494802,midwest
2005,Montana,66.7,4.4,2.47,10.5,1.06371,0.40900001,40714.92452,10.61435,40.2,0.0976639,0.0049912,0.0249093,west
2006,Montana,66.7,3.5,2.47,8.6,8.39726,0.426,40683.99293,10.61359,39.5,0.1301508,0.0051725,0.0245212,west
2007,Montana,66.9,3.6,2.5,9.7,0,0.44299999,42155.05985,10.64911,39.1,0.1205479,0.0061136,0.0302046,west
2008,Montana,67,5.1,2.5,9.7,8.26925,0.449,41513.33583,10.63377,39.1,0.1031729,0.0061232,0.0321373,west
2009,Montana,65.3,6.8,2.53,9.9,7.17957,0.43099999,40346.50287,10.60526,39.3,0.1138477,0.0034468,0.0326225,west
2010,Montana,64.4,7.3,2.39,10,10.0919,0.435,40916.1447,10.61928,40.1,0.0868874,0.0055565,0.0323803,west
2011,Montana,63.9,6.9,2.4,9.7,5.00902,0.43509999,41547.80621,10.6346,39.7,0.0714338,0.0049334,0.0336123,west
2012,Montana,64,6,2.39,10.2,1.98977,0.45019999,41791.15528,10.64044,40.2,0.0697077,0.0041116,0.0358869,west
2013,Montana,63.9,5.4,2.43,11.3,4.92531,0.46200001,41799.93235,10.64065,39.6,0.0756402,0.0036454,0.0375531,west
2014,Montana,63.5,4.7,2.42,9.5,26.378,0.4544,42099.45188,10.64779,39.6,0.073872,0.0065484,0.0390607,west
2015,Montana,63.6,4.2,2.42,9.3,7.74482,0.4623,43297.4924,10.67585,39.9,0.0665714,0.005282,0.0416994,west
2005,Nebraska,73.5,3.8,2.45,8.2,2.27079,0.43100002,52077.06918,10.86048,36.2,0.1548173,0.0465981,0.0840576,midwest
2006,Nebraska,72.7,3.1,2.45,7.8,1.69234,0.43000001,51679.68277,10.85282,36,0.1562006,0.0473594,0.0868104,midwest
2007,Nebraska,72.9,3,2.46,8.2,0,0.42899999,52625.18045,10.87095,36.1,0.1494184,0.0463504,0.0881414,midwest
2008,Nebraska,73.2,3.3,2.46,6.8,4.48573,0.42699999,52465.96748,10.86792,36.3,0.1522413,0.0474103,0.0930988,midwest
2009,Nebraska,72.7,4.6,2.45,8.4,1.1132,0.44,52348.05176,10.86567,35.8,0.1574977,0.051319,0.1001226,midwest
2010,Nebraska,71.7,4.6,2.47,8.8,2.18528,0.43200001,53461.12322,10.88671,36.3,0.1416517,0.0535845,0.1118463,midwest
2011,Nebraska,71.7,4.4,2.48,9.1,1.0854,0.44670001,55535.62579,10.92478,36.3,0.1397642,0.0555426,0.1150962,midwest
2012,Nebraska,72,4,2.46,9.1,1.61679,0.4339,55115.70601,10.91719,36.3,0.1389456,0.0566463,0.1185395,midwest
2013,Nebraska,71.7,3.8,2.49,8.8,1.60555,0.4445,56214.49945,10.93693,36.3,0.1484562,0.0568583,0.1210953,midwest
2014,Nebraska,70.6,3.3,2.47,8.7,2.12596,0.43520001,56939.80863,10.94975,36.2,0.1471906,0.0585489,0.1257129,midwest
2015,Nebraska,69.9,3,2.48,8.5,1.58212,0.44729999,57838.50446,10.96541,36.1,0.128551,0.0596402,0.1297532,midwest
2005,Nevada,67.3,4.1,2.63,8.9,0,0.43099996,58663.91026,10.97958,35.2,0.3297827,0.1171702,0.3963169,west
2006,Nevada,68.2,4,2.63,7.6,1.18922,0.43399999,58187.74241,10.97143,35.6,0.3047367,0.1223129,0.4168575,west
2007,Nevada,68.6,4.5,2.65,7.5,1.53783,0.43700001,56289.87737,10.93827,35.7,0.3052458,0.1228415,0.4342385,west
2008,Nevada,69,6.7,2.69,7.9,0,0.43099999,53405.55256,10.88567,35.9,0.2987841,0.1297307,0.4512066,west
2009,Nevada,67.5,11.3,2.7,9,2.64842,0.433,48141.50626,10.7819,35.5,0.2998887,0.1378467,0.4762363,west
2010,Nevada,65.9,13.5,2.7,11.1,1.47894,0.44800001,47631.99603,10.77126,36.3,0.2887317,0.1483362,0.4926941,west
2011,Nevada,65.6,13,2.74,11.9,2.20319,0.4526,47638.1886,10.77139,36.7,0.2843207,0.1528512,0.5063338,west
2012,Nevada,64.8,11.2,2.7,12.6,2.17476,0.45159999,46410.45332,10.74528,36.8,0.2677994,0.1564706,0.5168025,west
2013,Nevada,64.1,9.6,2.75,11.6,0.716811,0.45429999,45973.48058,10.73582,37.1,0.2675622,0.161111,0.5277195,west
2014,Nevada,63.3,7.9,2.74,11,2.11335,0.4427,45669.2279,10.72918,37.4,0.2651382,0.1667311,0.5420873,west
2015,Nevada,62.9,6.8,2.74,10.9,0,0.45480001,46733.66211,10.75222,37.8,0.2710937,0.1689067,0.5568568,west
2005,New Hampshire,71.2,3.6,2.56,5.3,1.54025,0.417,50575.37112,10.83122,39.5,0.0918189,0.0085167,0.0233668,northeast
2006,New Hampshire,70.9,3.4,2.53,4.9,0,0.417,50152.31732,10.82282,39.3,0.0988387,0.0108942,0.024156,northeast
2007,New Hampshire,70.8,3.5,2.54,4.6,0,0.417,49929.13604,10.81836,39.8,0.0903168,0.0096725,0.026611,northeast
2008,New Hampshire,70.7,3.9,2.53,5,3.03995,0.419,49412.06974,10.80795,40.3,0.0951653,0.0105748,0.0282798,northeast
2009,New Hampshire,70.4,6.2,2.54,5.5,0.754959,0.43099999,48656.95318,10.79255,40.4,0.0925078,0.0135583,0.0298207,northeast
2010,New Hampshire,69.9,5.8,2.48,5.3,0.75944,0.42500001,50458.17226,10.8289,41.3,0.084076,0.0127291,0.0304392,northeast
2011,New Hampshire,69.5,5.4,2.47,5.6,0,0.43470001,50706.02405,10.8338,41.5,0.08526,0.0120859,0.0317483,northeast
2012,New Hampshire,69.4,5.5,2.47,6.7,0,0.4298,51252.00407,10.84451,41.9,0.0681932,0.0136219,0.0331065,northeast
2013,New Hampshire,69,5.1,2.47,5.1,0,0.43869999,51984.9743,10.85871,42.3,0.0828969,0.0133164,0.0345771,northeast
2014,New Hampshire,68.7,4.3,2.47,6,0,0.44100001,52361.14041,10.86592,42.5,0.0729411,0.0140591,0.0350896,northeast
2015,New Hampshire,68.5,3.4,2.49,5,0,0.43470001,53490.53493,10.88726,42.8,0.0545866,0.0175964,0.0366565,northeast
2005,New Jersey,66.2,4.5,2.71,6.8,4.50764,0.45200002,60259.77025,11.00642,38,0.1561602,0.2033737,0.2434027,northeast
2006,New Jersey,66.8,4.7,2.72,6.4,5.4262,0.458,60066.64652,11.00321,38.2,0.1773537,0.2113315,0.2512747,northeast
2007,New Jersey,66.4,4.3,2.7,6.3,7.1446,0.46399999,60651.52146,11.0129,38.4,0.162959,0.2129687,0.2570293,northeast
2008,New Jersey,67,5.3,2.69,6.2,5.64343,0.46200001,61392.9324,11.02505,38.7,0.1585127,0.2218245,0.2659921,northeast
2009,New Jersey,67.3,9.1,2.7,7,5.05298,0.465,58700.88017,10.98021,38.7,0.1638553,0.2242388,0.2740299,northeast
2010,New Jersey,66.4,9.5,2.72,7.8,5.33992,0.46399999,58692.66262,10.98007,39,0.1527845,0.2276401,0.3001639,northeast
2011,New Jersey,66,9.3,2.73,7.8,3.17419,0.46939999,57920.69348,10.96683,39.2,0.1577571,0.2290255,0.309914,northeast
2012,New Jersey,66,9.3,2.71,8.2,3.04583,0.4718,58631.65398,10.97903,39.4,0.1466524,0.2351878,0.3196497,northeast
2013,New Jersey,65.2,8.2,2.74,8.7,3.37104,0.47999999,58806.04884,10.982,39.4,0.1491642,0.2384262,0.3302363,northeast
2014,New Jersey,64.1,6.8,2.74,8.3,3.69203,0.47569999,58739.63553,10.98087,39.4,0.1382758,0.2395379,0.3417358,northeast
2015,New Jersey,64,5.8,2.75,8.1,2.56753,0.48320001,59568.36955,10.99488,39.6,0.1378102,0.2387291,0.3509752,northeast
2005,New Mexico,63.9,5.1,2.59,14.3,1.55258,0.45499998,44417.55264,10.70139,36.2,0.3059636,0.0405051,1.018169,west
2006,New Mexico,63.5,4.2,2.64,13.8,3.05789,0.45699999,43943.06071,10.69065,35.2,0.3268435,0.0432455,1.038267,west
2007,New Mexico,63,3.8,2.62,14.2,1.50748,0.45899999,43916.26361,10.69004,36,0.3362191,0.0500912,1.054134,west
2008,New Mexico,63,4.5,2.62,12.6,3.02365,0.46000001,43327.37798,10.67654,36,0.3189409,0.0548115,1.080646,west
2009,New Mexico,62,7.5,2.65,13.6,4.47834,0.45300001,43622.57192,10.68333,35.5,0.3010118,0.0526987,1.111608,west
2010,New Mexico,60,8.1,2.64,15.7,3.3883,0.46399999,42113.76812,10.64813,36.7,0.3034267,0.0485812,1.148353,west
2011,New Mexico,58.8,7.5,2.66,16.6,1.92102,0.48210001,41862.26067,10.64214,36.6,0.2842324,0.0531821,1.166435,west
2012,New Mexico,58.2,7.1,2.67,16.8,1.91797,0.47130001,42004.41455,10.64553,36.8,0.2628318,0.0518012,1.184578,west
2013,New Mexico,57.7,6.9,2.71,16.3,0.959101,0.47589999,41483.87183,10.63306,36.9,0.2801919,0.0509512,1.204468,west
2014,New Mexico,58,6.7,2.68,16.5,4.79485,0.477,42746.81634,10.66305,37.2,0.2505883,0.0511013,1.230772,west
2015,New Mexico,58,6.5,2.68,14.8,5.7551,0.4795,43579.84274,10.68235,37.4,0.2546768,0.059983,1.254545,west
2005,New York,63,5,2.62,11.1,4.28588,0.49000001,62772.97968,11.04728,37.5,0.208631,0.2402075,0.2676499,northeast
2006,New York,63,4.5,2.64,10.9,2.66951,0.495,62151.48559,11.03733,37.4,0.2228721,0.2448938,0.2699897,northeast
2007,New York,62.7,4.6,2.63,10.3,2.29978,0.5,62324.50711,11.04011,37.7,0.2255999,0.2455013,0.2728323,northeast
2008,New York,63.3,5.4,2.65,10.3,2.46276,0.50300002,60310.40972,11.00726,38,0.2279619,0.2663695,0.2790209,northeast
2009,New York,62.8,8.3,2.63,10.8,1.94458,0.50199997,62596.83521,11.04447,38.1,0.2152803,0.2631166,0.2807176,northeast
2010,New York,62.4,8.6,2.61,11.5,1.90797,0.49900001,65463.62998,11.08925,38,0.216304,0.267094,0.3042638,northeast
2011,New York,61.5,8.3,2.63,12.3,2.67144,0.50330001,65205.55867,11.0853,38.1,0.2072287,0.2697545,0.3106519,northeast
2012,New York,61.8,8.5,2.62,12.2,2.91258,0.50089997,67574.09645,11.12098,38.1,0.1996761,0.2713517,0.3165153,northeast
2013,New York,61.8,7.7,2.64,12.1,1.32308,0.50980002,67136.28924,11.11448,38.2,0.1984775,0.2753179,0.3224435,northeast
2014,New York,60.7,6.3,2.63,12.2,2.07635,0.51109999,68276.43745,11.13132,38.2,0.1933579,0.2781307,0.3299912,northeast
2015,New York,60.8,5.3,2.66,11.6,3.43507,0.51380002,69160.83409,11.14419,38.3,0.1890346,0.2788322,0.3370956,northeast
2005,North Carolina,65.7,5.2,2.47,11.7,1.49332,0.45100001,48447.20852,10.78823,36.2,0.2522718,0.3048615,0.0926494,south
2006,North Carolina,66.1,4.7,2.49,10.7,2.69141,0.458,48844.15508,10.79639,36.6,0.2647377,0.313014,0.0995763,south
2007,North Carolina,65.6,4.7,2.48,10.6,2.85149,0.465,48166.54635,10.78242,36.8,0.2395298,0.3132082,0.1046843,south
2008,North Carolina,65,6.1,2.49,10.9,1.84334,0.463,48460.29103,10.7885,37,0.2418584,0.3163766,0.110311,south
2009,North Carolina,64.2,10.6,2.49,11.9,0.959398,0.46399999,45529.69366,10.72612,36.9,0.2233254,0.3153628,0.1144553,south
2010,North Carolina,63.3,10.9,2.53,13.3,1.88254,0.46399999,45327.98993,10.72168,37.3,0.2119931,0.3291202,0.1291871,south
2011,North Carolina,62.5,10.3,2.55,13.2,1.34626,0.4716,45471.45293,10.72484,37.7,0.2129193,0.3337345,0.1321345,south
2012,North Carolina,62.4,9.3,2.55,13.4,0.410169,0.4691,45074.41186,10.71607,37.8,0.2106041,0.3349856,0.1342696,south
2013,North Carolina,61.8,8,2.55,13.1,1.92931,0.4765,45223.40312,10.71937,37.9,0.1917641,0.3353852,0.1370816,south
2014,North Carolina,61.1,6.3,2.56,12.8,0.804508,0.47479999,45618.56318,10.72807,38.3,0.1751732,0.3387675,0.1400429,south
2015,North Carolina,61.2,5.7,2.55,11.8,1.69275,0.47760001,46575.96898,10.74884,38.4,0.1710514,0.3400966,0.1427196,south
2005,North Dakota,72.3,3.4,2.25,7.5,13.93,0.42799997,47744.06285,10.77361,39.1,0.2306919,0.0087817,0.0154356,west
2006,North Dakota,73.2,3.2,2.23,7,3.07966,0.43399999,47591.05013,10.7704,37.1,0.2409817,0.0103859,0.0162265,west
2007,North Dakota,74.1,3.1,2.25,7.5,9.19087,0.44,49502.57661,10.80978,37.1,0.2327504,0.0086792,0.0168717,west
2008,North Dakota,74.4,3.2,2.24,7.9,6.23557,0.45100001,53243.4462,10.88263,37,0.2024005,0.0106169,0.0224769,west
2009,North Dakota,73.2,4.1,2.22,6.6,0,0.44999999,54175.82204,10.89999,37,0.2038599,0.0120847,0.0219337,west
2010,North Dakota,72.6,3.8,2.32,7.8,8.89549,0.433,55888.28128,10.93111,37.4,0.1780391,0.0143374,0.0232022,west
2011,North Dakota,72.9,3.5,2.32,7.9,2.92427,0.44479999,61325.4373,11.02395,36.6,0.1700678,0.0113252,0.0246472,west
2012,North Dakota,73.2,3.1,2.32,7,2.85866,0.45969999,73389.04847,11.20353,36.2,0.1419355,0.0165565,0.0270564,west
2013,North Dakota,72.8,2.9,2.33,7,0,0.45500001,72617.41151,11.19296,35.5,0.1497187,0.0171274,0.0278907,west
2014,North Dakota,72.6,2.7,2.33,7.4,0,0.4664,76140.83527,11.24034,35.1,0.1201529,0.023236,0.0321314,west
2015,North Dakota,71.4,2.8,2.33,6.9,1.32113,0.4664,72147.65053,11.18647,34.9,0.1265106,0.0241133,0.040072,west
2005,Ohio,66.8,5.9,2.47,9.9,4.27451,0.44999999,48741.68998,10.79429,37.6,0.1459939,0.1370731,0.0273453,west
2006,Ohio,67.1,5.4,2.48,9.8,3.74525,0.449,47149.09058,10.76107,37.6,0.1566409,0.1418936,0.0279559,west
2007,Ohio,67.3,5.6,2.48,9.7,4.26068,0.44800001,47215.14553,10.76247,37.8,0.1432569,0.140964,0.0297631,west
2008,Ohio,66.8,6.4,2.48,9.8,3.22134,0.44999999,46770.12858,10.753,38.2,0.1424799,0.1422184,0.0316715,west
2009,Ohio,66,10.3,2.48,11.1,4.85157,0.45300001,44116.09673,10.69458,38.5,0.1438593,0.1438782,0.0340817,west
2010,Ohio,65.2,10.3,2.48,11.8,5.63445,0.45199999,45170.52268,10.7182,38.9,0.1338985,0.1510211,0.0379708,west
2011,Ohio,64.2,8.8,2.48,12,2.68516,0.4594,46661.28104,10.75067,39.1,0.1348024,0.1494865,0.0389663,west
2012,Ohio,63.2,7.4,2.47,12,2.16559,0.46149999,46847.363,10.75465,39.3,0.1226434,0.1517957,0.0402046,west
2013,Ohio,63.1,7.5,2.47,11.6,1.64206,0.46520001,47602.47335,10.77064,39.3,0.1215829,0.1511598,0.0412137,west
2014,Ohio,62.7,5.8,2.46,11.6,1.72501,0.4637,49193.65841,10.80352,39.4,0.1113254,0.152972,0.0429751,west
2015,Ohio,62.4,4.9,2.45,10.7,2.58322,0.4637,49707.94209,10.81392,39.3,0.1105216,0.1540993,0.0444271,west
2005,Oklahoma,64.1,4.5,2.49,13.1,5.91783,0.45700002,41669.71979,10.63753,36.5,0.2137728,0.0962739,0.0914106,south
2006,Oklahoma,63.8,4,2.5,12.8,3.61705,0.46000001,42651.59715,10.66082,36.2,0.2326991,0.1012234,0.0949862,south
2007,Oklahoma,63.5,4.1,2.5,11.9,2.47637,0.463,42977.84374,10.66844,36.1,0.2132731,0.1028786,0.1002075,south
2008,Oklahoma,63.7,3.7,2.51,11.8,6.04004,0.458,44301.33097,10.69877,36.3,0.2221441,0.1005268,0.1073669,south
2009,Oklahoma,63.6,6.4,2.5,12.1,5.96683,0.46000001,43187.65632,10.67331,35.7,0.2195785,0.1029526,0.1154276,south
2010,Oklahoma,62.4,6.8,2.55,12.7,3.72172,0.454,42328.25039,10.65321,36.3,0.1989685,0.1046862,0.1288991,south
2011,Oklahoma,61.8,5.9,2.55,12.8,6.32994,0.46129999,43558.49385,10.68186,36.3,0.2003877,0.106545,0.1344901,south
2012,Oklahoma,62.3,5.2,2.56,13.1,6.81553,0.46430001,45476.45507,10.72495,36.3,0.1917143,0.1055079,0.1377918,south
2013,Oklahoma,61.7,5.3,2.58,12.5,5.71344,0.4619,46123.59868,10.73908,36.2,0.1837673,0.1066773,0.1423524,south
2014,Oklahoma,61.1,4.5,2.58,12.2,5.67295,0.46599999,48494.71006,10.78921,36.2,0.1747769,0.1106037,0.1458828,south
2015,Oklahoma,61.7,4.4,2.59,11.7,5.11334,0.4702,49743.7447,10.81464,36.3,0.1729449,0.1102263,0.1526323,south
2005,Oregon,65.4,6.2,2.5,10.1,1.10705,0.44600001,44510.4824,10.70348,37,0.148519,0.0193998,0.1219592,west
2006,Oregon,65.5,5.3,2.5,9.2,1.63449,0.44400001,45372.43314,10.72266,37.6,0.1712558,0.0204015,0.1267997,west
2007,Oregon,65.7,5.2,2.49,8.9,2.95507,0.442,45661.46479,10.72901,37.9,0.1604529,0.0200342,0.1316316,west
2008,Oregon,65.8,6.5,2.51,9.6,0.791544,0.447,45897.68688,10.73417,38,0.1492251,0.0216757,0.1373801,west
2009,Oregon,65.7,11.3,2.52,9.8,1.30696,0.44299999,43561.97867,10.68194,38,0.1417082,0.0224412,0.1409947,west
2010,Oregon,65.4,10.6,2.49,11,0.260487,0.449,44026.63189,10.69255,38.5,0.142524,0.0234035,0.1503095,west
2011,Oregon,65,9.5,2.5,11.9,1.80792,0.45860001,44909.29195,10.7124,38.7,0.1415017,0.0232293,0.1545164,west
2012,Oregon,63.1,8.8,2.51,12.1,0.512906,0.45649999,44749.25162,10.70883,38.9,0.1231853,0.023035,0.1566601,west
2013,Oregon,61.1,7.9,2.52,11.3,0.763346,0.46000001,44733.59212,10.70848,39.1,0.1342153,0.0239009,0.1591403,west
2014,Oregon,61.2,6.8,2.53,11,1.0075,0.46239999,45838.97542,10.73289,39.3,0.1360432,0.0232741,0.1627539,west
2015,Oregon,61.6,5.6,2.54,9.9,0.744606,0.46219999,47554.41912,10.76963,39.1,0.11457,0.0249723,0.1660599,west
2005,Pennsylvania,64.4,5,2.46,8.6,4.57831,0.45000002,49089.96922,10.80141,39.7,0.1501288,0.1190635,0.0489134,northeast
2006,Pennsylvania,64.4,4.6,2.47,8.2,5.35537,0.45500001,47588.67063,10.77035,39.6,0.165603,0.1238363,0.0516731,northeast
2007,Pennsylvania,64.5,4.4,2.46,8.1,3.18372,0.46000001,49226.13694,10.80418,39.7,0.1531323,0.1242074,0.0546097,northeast
2008,Pennsylvania,65.2,5.3,2.44,8.5,2.89197,0.45699999,50113.21376,10.82204,40,0.1542418,0.1273747,0.0588516,northeast
2009,Pennsylvania,64.4,8,2.47,8.6,3.25274,0.46000001,48037.15246,10.77973,39.9,0.1480823,0.1302167,0.0634764,northeast
2010,Pennsylvania,63.5,8.5,2.49,9.3,4.24875,0.461,48976.2125,10.79909,40.2,0.1386469,0.1363931,0.0715656,northeast
2011,Pennsylvania,63.2,7.9,2.49,9.6,2.90358,0.46110001,49547.14899,10.81068,40.3,0.1350005,0.1362359,0.0745777,northeast
2012,Pennsylvania,63.6,7.8,2.49,9.5,3.68236,0.46419999,50246.18989,10.82469,40.5,0.1294119,0.1394988,0.0778065,northeast
2013,Pennsylvania,63.3,7.4,2.5,9.3,3.05312,0.46959999,50988.73475,10.83936,40.6,0.1240738,0.1409771,0.0808577,northeast
2014,Pennsylvania,62.7,5.9,2.5,9.4,3.36274,0.4686,51989.13326,10.85879,40.7,0.1202909,0.1425752,0.084274,northeast
2015,Pennsylvania,62.8,5.3,2.5,9.1,3.82738,0.46849999,52948.23409,10.87707,40.7,0.1124898,0.1424085,0.087983,northeast
2005,Rhode Island,67.6,5,2.54,9.5,3.7456,0.42700002,50661.42237,10.83292,38.4,0.2153819,0.0568968,0.1379281,northeast
2006,Rhode Island,68.4,4.9,2.53,7.8,1.88129,0.442,50128.75126,10.82235,38.4,0.2459707,0.0584674,0.1396753,northeast
2007,Rhode Island,68.4,5.2,2.53,8.3,0.945796,0.45699999,49239.92219,10.80446,38.3,0.2566365,0.0624854,0.1426363,northeast
2008,Rhode Island,68,7.8,2.54,7.7,1.90333,0.46000001,48008.8189,10.77914,38.8,0.2276071,0.0694309,0.1484174,northeast
2009,Rhode Island,67.4,11,2.5,8.6,0.949479,0.45699999,47676.79116,10.7722,39.4,0.2301859,0.0771665,0.1536771,northeast
2010,Rhode Island,67.3,11.2,2.51,9.2,2.84931,0.46700001,48882.26839,10.79717,39.6,0.2426813,0.0781493,0.1634379,northeast
2011,Rhode Island,66.3,11,2.45,10.6,7.60961,0.46740001,48767.04225,10.79481,39.5,0.2067021,0.07951,0.168953,northeast
2012,Rhode Island,65.9,10.4,2.44,9.2,1.90423,0.46470001,49169.06773,10.80302,39.8,0.2042388,0.0857042,0.1750341,northeast
